Jackson Invitational Mens 5000 Meters Orange Division (1000 + enrolment)
Sat Sep 21 2024
https://www.athletic.net/CrossCountry/meet/236877/results/947091
"<p>The Skyline boys cross country team had the unique privilege of running before most people even had their first sip of coffee at the Jackson Invitational. Let’s be honest, the early morning start was a challenge in itself—those bleary-eyed athletes were up and running before the sun had properly woken up. But once the gun went off, the team showed that Skyline doesn’t just wake up; they show up!</p><p>Despite the pre-dawn timing, the boys battled through the cool morning mist and still managed to snag 19th place out of 31 teams. Sure, the Highland-Milford kids were practically sprinting to breakfast with their first-place times, but Skyline held their own with some strong performances.</p><p>Leading the charge for Skyline was <span class=""athlete"">Bruno Cifaldi</span>, who zoomed across the finish line in <time>16:41.60</time>, faster than most of us could run to grab our morning coffee. Close behind, <span class=""athlete"">Kyle Krasan</span> wasn’t about to let Bruno have all the glory, finishing with a time of <time>16:55.97</time>—proving he can clock in under 17 minutes just in time to still feel sleepy.</p><p>Next up was <span class=""athlete"">Matthew Guikema</span>, crossing the line in <time>17:01.11</time> and no doubt thinking about the breakfast that awaited him. <span class=""athlete"">Oskar MacArthur</span>, one of Skyline’s younger speedsters, raced in with a time of <time>17:11.69</time>, followed closely by <span class=""athlete"">Enshu Kuan</span> at <time>17:12.62</time>. <span class=""athlete"">Jack Robichaud</span> came in just a bit after them at <time>17:14.63</time>, rounding out a solid pack of Skyline runners.</p><p>And let’s not forget <span class=""athlete"">Martin Gehrke</span>, who finished his morning jog in <time>17:28.69</time>—just fast enough to beat the early-bird special. <span class=""athlete"">Dylan Hanley</span>, determined to keep pace, came in at <time>17:55.80</time>, wrapping up a well-fought race for the Skyline crew.</p>"
Place,Team,Score
1,Chuck Block Timing,158
2,Livonia Churchill,172
3,Clarkston,179
4,Saline,204
5,Canton,237
6,East Kentwood,248
7,White Lake Lakeland,253
8,Traverse City Central,287
9,Highland-Milford,302
10,Macomb Dakota,333
11,Plymouth,351
12,Grandville,364
13,Howell,376
14,Troy,376
15,Rochester,383
16,Dexter,389
17,Salem,395
18,Utica,414
19,Romeo,438
20,Ann Arbor Skyline,466
21,Temperance Bedford,492
22,Kalamazoo Loy Norrix,520
23,Ann Arbor Pioneer,526
24,Woodhaven Brownstown,633
25,BC Lakeview,655
26,Royal Oak,674
27,Hartland,695
28,Fraser,722
29,Farmington,799
30,South Lyon East,868
31,Dearborn,900

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
144.,12,Cole Triffle,https://www.athletic.net/athlete/18845864/cross-country,17:25.87,Canton,https://www.athletic.net/athlete/18845864/cross-country,18845864.jpg
145.,12,Malachi Mosley,https://www.athletic.net/athlete/20982454/cross-country,17:27.31,East Kentwood,https://www.athletic.net/athlete/20982454/cross-country,20982454.jpg
146.,9,Martin Gehrke,https://www.athletic.net/athlete/19203161/cross-country,17:28.69,Ann Arbor Skyline,https://www.athletic.net/athlete/19203161/cross-country,19203161.jpg
147.,10,Jack Witt,https://www.athletic.net/athlete/23627782/cross-country,17:29.18,Troy,https://www.athletic.net/athlete/23627782/cross-country,23627782.jpg
148.,11,Jason Anderson,https://www.athletic.net/athlete/22477167/cross-country,17:29.61,Dearborn,https://www.athletic.net/athlete/22477167/cross-country,22477167.jpg
149.,11,Myles Gesselman,https://www.athletic.net/athlete/18077513/cross-country,17:29.72,East Kentwood,https://www.athletic.net/athlete/18077513/cross-country,18077513.jpg
150.,12,Aidan Ortiz,https://www.athletic.net/athlete/14023078/cross-country,17:30.41,Temperance Bedford,https://www.athletic.net/athlete/14023078/cross-country,14023078.jpg
151.,12,Brayden Creedon,https://www.athletic.net/athlete/18772182/cross-country,17:31.92,Canton,https://www.athletic.net/athlete/18772182/cross-country,18772182.jpg
152.,11,Joey Brake,https://www.athletic.net/athlete/21216712/cross-country,17:32.17,Livonia Churchill,https://www.athletic.net/athlete/21216712/cross-country,21216712.jpg
153.,9,Henry Sillers,https://www.athletic.net/athlete/26376098/cross-country,17:33.42,Livonia Churchill,https://www.athletic.net/athlete/26376098/cross-country,26376098.jpg
154.,9,Lucas Campbell,https://www.athletic.net/athlete/19045157/cross-country,17:33.44,Rochester,https://www.athletic.net/athlete/19045157/cross-country,19045157.jpg
155.,12,Andres Jaime,https://www.athletic.net/athlete/18795199/cross-country,17:33.51,Royal Oak,https://www.athletic.net/athlete/18795199/cross-country,18795199.jpg
156.,10,Tyler Williams,https://www.athletic.net/athlete/23407540/cross-country,17:33.78,Fraser,https://www.athletic.net/athlete/23407540/cross-country,23407540.jpg
157.,10,Hayden Preister,https://www.athletic.net/athlete/20160080/cross-country,17:34.26,Hartland,https://www.athletic.net/athlete/20160080/cross-country,20160080.jpg
158.,10,Calen Alexander,https://www.athletic.net/athlete/17382328/cross-country,17:34.91,Woodhaven Brownstown,https://www.athletic.net/athlete/17382328/cross-country,17382328.jpg
159.,11,Cole Doty,https://www.athletic.net/athlete/21092112/cross-country,17:35.06,Dexter,https://www.athletic.net/athlete/21092112/cross-country,21092112.jpg
160.,10,Conner McLaughlin,https://www.athletic.net/athlete/23677757/cross-country,17:36.06,Rochester,https://www.athletic.net/athlete/23677757/cross-country,23677757.jpg
161.,9,Cameron Martin,https://www.athletic.net/athlete/26285091/cross-country,17:36.12,Fraser,https://www.athletic.net/athlete/26285091/cross-country,26285091.jpg
162.,12,Marek Unger,https://www.athletic.net/athlete/18694127/cross-country,17:36.23,Romeo,https://www.athletic.net/athlete/18694127/cross-country,18694127.jpg
163.,10,Ethan Hawkins,https://www.athletic.net/athlete/20160067/cross-country,17:36.63,Hartland,https://www.athletic.net/athlete/20160067/cross-country,20160067.jpg
164.,9,Alex Weller,https://www.athletic.net/athlete/20660681/cross-country,17:38.46,Howell,https://www.athletic.net/athlete/20660681/cross-country,20660681.jpg
165.,9,Nicholas Reiser,https://www.athletic.net/athlete/21411304/cross-country,17:39.97,Dexter,https://www.athletic.net/athlete/21411304/cross-country,21411304.jpg
166.,9,Landen Martell,https://www.athletic.net/athlete/26367169/cross-country,17:40.65,Plymouth,https://www.athletic.net/athlete/26367169/cross-country,26367169.jpg
167.,11,Wyatt Shaw,https://www.athletic.net/athlete/17314508/cross-country,17:41.77,Hartland,https://www.athletic.net/athlete/17314508/cross-country,17314508.jpg
168.,11,Ashton Henckel,https://www.athletic.net/athlete/21233457/cross-country,17:42.61,Rochester,https://www.athletic.net/athlete/21233457/cross-country,21233457.jpg
169.,10,Josh Sanchez,https://www.athletic.net/athlete/23632134/cross-country,17:43.36,Highland-Milford,https://www.athletic.net/athlete/23632134/cross-country,23632134.jpg
170.,12,Reid Tatro,https://www.athletic.net/athlete/18863168/cross-country,17:44.06,Highland-Milford,https://www.athletic.net/athlete/18863168/cross-country,18863168.jpg
171.,12,Diego Islas-Montantes,https://www.athletic.net/athlete/18775448/cross-country,17:44.11,Plymouth,https://www.athletic.net/athlete/18775448/cross-country,18775448.jpg
172.,12,Jeremiah Lawson,https://www.athletic.net/athlete/20165328/cross-country,17:44.42,Woodhaven Brownstown,https://www.athletic.net/athlete/20165328/cross-country,20165328.jpg
173.,11,Liam Dao,https://www.athletic.net/athlete/21221373/cross-country,17:44.75,Royal Oak,https://www.athletic.net/athlete/21221373/cross-country,21221373.jpg
174.,12,Matthew Casavant,https://www.athletic.net/athlete/17349222/cross-country,17:45.25,Dexter,https://www.athletic.net/athlete/17349222/cross-country,17349222.jpg
175.,10,Fletcher Stucky,https://www.athletic.net/athlete/18957418/cross-country,17:46.24,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18957418/cross-country,18957418.jpg
176.,11,Bryson White,https://www.athletic.net/athlete/17392904/cross-country,17:47.51,Jackson,https://www.athletic.net/athlete/17392904/cross-country,17392904.jpg
177.,12,Mark Rios-Hernandez,https://www.athletic.net/athlete/22264527/cross-country,17:50.29,East Kentwood,https://www.athletic.net/athlete/22264527/cross-country,22264527.jpg
178.,11,Nicholas Milosavlevski,https://www.athletic.net/athlete/21111632/cross-country,17:50.88,Macomb Dakota,https://www.athletic.net/athlete/21111632/cross-country,21111632.jpg
179.,9,Jack Szukatis,https://www.athletic.net/athlete/26392741/cross-country,17:51.34,South Lyon East,https://www.athletic.net/athlete/26392741/cross-country,26392741.jpg
180.,10,Caleb DeLand,https://www.athletic.net/athlete/17456102/cross-country,17:51.84,Howell,https://www.athletic.net/athlete/17456102/cross-country,17456102.jpg
181.,10,Nick Martens,https://www.athletic.net/athlete/19005045/cross-country,17:53.22,Dexter,https://www.athletic.net/athlete/19005045/cross-country,19005045.jpg
182.,12,Emmet Thompson,https://www.athletic.net/athlete/14070949/cross-country,17:54.08,Howell,https://www.athletic.net/athlete/14070949/cross-country,14070949.jpg
183.,10,Kamden O'Donnell,https://www.athletic.net/athlete/23587340/cross-country,17:54.66,Canton,https://www.athletic.net/athlete/23587340/cross-country,23587340.jpg
184.,10,Dylan Hanley,https://www.athletic.net/athlete/23349680/cross-country,17:55.80,Ann Arbor Skyline,https://www.athletic.net/athlete/23349680/cross-country,23349680.jpg
185.,12,Nolan Kiplinger,https://www.athletic.net/athlete/15933755/cross-country,17:57.05,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/15933755/cross-country,15933755.jpg
186.,10,Rami Bazzi,https://www.athletic.net/athlete/23638490/cross-country,17:57.45,Dearborn,https://www.athletic.net/athlete/23638490/cross-country,23638490.jpg
187.,12,Kellen Phillips,https://www.athletic.net/athlete/18863165/cross-country,17:58.20,Highland-Milford,https://www.athletic.net/athlete/18863165/cross-country,18863165.jpg
188.,10,Avishek Sett,https://www.athletic.net/athlete/26272935/cross-country,17:58.43,Farmington,https://www.athletic.net/athlete/26272935/cross-country,26272935.jpg
189.,12,Scott Smith,https://www.athletic.net/athlete/15988506/cross-country,17:59.13,Dexter,https://www.athletic.net/athlete/15988506/cross-country,15988506.jpg
190.,11,Davis Baraka,https://www.athletic.net/athlete/24783521/cross-country,18:01.02,East Kentwood,https://www.athletic.net/athlete/24783521/cross-country,24783521.jpg
191.,12,Trevor Kleczynski,https://www.athletic.net/athlete/18794160/cross-country,18:03.24,Dearborn,https://www.athletic.net/athlete/18794160/cross-country,18794160.jpg
192.,12,Evan Lamb,https://www.athletic.net/athlete/13894490/cross-country,18:04.06,Romeo,https://www.athletic.net/athlete/13894490/cross-country,13894490.jpg
193.,12,Carter Hausman,https://www.athletic.net/athlete/18782120/cross-country,18:04.75,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18782120/cross-country,18782120.jpg
194.,11,Brady Slone,https://www.athletic.net/athlete/22216380/cross-country,18:05.19,Fraser,https://www.athletic.net/athlete/22216380/cross-country,22216380.jpg
195.,9,De-Mani Roberts,https://www.athletic.net/athlete/26257247/cross-country,18:06.61,East Kentwood,https://www.athletic.net/athlete/26257247/cross-country,26257247.jpg
196.,11,Mateo Reyes,https://www.athletic.net/athlete/17382344/cross-country,18:06.98,Woodhaven Brownstown,https://www.athletic.net/athlete/17382344/cross-country,17382344.jpg
197.,12,Zachary Chaussee,https://www.athletic.net/athlete/18831267/cross-country,18:08.02,Traverse City Central,https://www.athletic.net/athlete/18831267/cross-country,18831267.jpg
198.,10,Aaron Flanz,https://www.athletic.net/athlete/23407529/cross-country,18:08.41,Fraser,https://www.athletic.net/athlete/23407529/cross-country,23407529.jpg
199.,11,Adam Shimmell,https://www.athletic.net/athlete/22462040/cross-country,18:09.03,Utica,https://www.athletic.net/athlete/22462040/cross-country,22462040.jpg
200.,11,Thomas DeJesus,https://www.athletic.net/athlete/21198007/cross-country,18:10.82,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198007/cross-country,21198007.jpg
201.,11,Griffin Demyanovich,https://www.athletic.net/athlete/12507855/cross-country,18:12.80,Woodhaven Brownstown,https://www.athletic.net/athlete/12507855/cross-country,12507855.jpg
202.,11,William Schook,https://www.athletic.net/athlete/21165075/cross-country,18:12.93,Dearborn,https://www.athletic.net/athlete/21165075/cross-country,21165075.jpg
203.,10,Beckett Sipes,https://www.athletic.net/athlete/18970530/cross-country,18:12.96,Royal Oak,https://www.athletic.net/athlete/18970530/cross-country,18970530.jpg
204.,11,Andrew Bucher,https://www.athletic.net/athlete/20922821/cross-country,18:13.83,Fraser,https://www.athletic.net/athlete/20922821/cross-country,20922821.jpg
205.,9,Lincoln Gray,https://www.athletic.net/athlete/18946157/cross-country,18:14.41,Hartland,https://www.athletic.net/athlete/18946157/cross-country,18946157.jpg
206.,12,Sean Kosinski,https://www.athletic.net/athlete/19989247/cross-country,18:15.25,Livonia Churchill,https://www.athletic.net/athlete/19989247/cross-country,19989247.jpg
207.,10,Leroy Li,https://www.athletic.net/athlete/23616329/cross-country,18:16.58,Ann Arbor Pioneer,https://www.athletic.net/athlete/23616329/cross-country,23616329.jpg
208.,12,Matthew Ayotte,https://www.athletic.net/athlete/21221684/cross-country,18:17.22,Utica,https://www.athletic.net/athlete/21221684/cross-country,21221684.jpg
209.,10,Julian Malec,https://www.athletic.net/athlete/19752540/cross-country,18:18.18,Grandville,https://www.athletic.net/athlete/19752540/cross-country,19752540.jpg
210.,12,Braxon Lake,https://www.athletic.net/athlete/14023081/cross-country,18:19.07,Temperance Bedford,https://www.athletic.net/athlete/14023081/cross-country,14023081.jpg
211.,12,Peyton Rider,https://www.athletic.net/athlete/20141198/cross-country,18:19.77,South Lyon East,https://www.athletic.net/athlete/20141198/cross-country,20141198.jpg
212.,11,Liam Aiuto,https://www.athletic.net/athlete/21147343/cross-country,18:20.05,Royal Oak,https://www.athletic.net/athlete/21147343/cross-country,21147343.jpg
213.,9,Michael Bogard,https://www.athletic.net/athlete/18957474/cross-country,18:21.61,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18957474/cross-country,18957474.jpg
214.,10,Cooper Ankeney,https://www.athletic.net/athlete/23349607/cross-country,18:24.04,Ann Arbor Pioneer,https://www.athletic.net/athlete/23349607/cross-country,23349607.jpg
215.,12,Sam McCarthy,https://www.athletic.net/athlete/26339154/cross-country,18:26.23,Grandville,https://www.athletic.net/athlete/26339154/cross-country,26339154.jpg
216.,11,Luca Massoni,https://www.athletic.net/athlete/22539491/cross-country,18:26.52,Royal Oak,https://www.athletic.net/athlete/22539491/cross-country,22539491.jpg
217.,9,Tyler Mack,https://www.athletic.net/athlete/26257914/cross-country,18:27.29,South Lyon East,https://www.athletic.net/athlete/26257914/cross-country,26257914.jpg
218.,10,Carter Kirkbride,https://www.athletic.net/athlete/15803483/cross-country,18:29.68,Romeo,https://www.athletic.net/athlete/15803483/cross-country,15803483.jpg
219.,9,Tony Boggess,https://www.athletic.net/athlete/26483500/cross-country,18:30.70,Ann Arbor Pioneer,https://www.athletic.net/athlete/26483500/cross-country,26483500.jpg
220.,12,Lucas Licari,https://www.athletic.net/athlete/15898097/cross-country,18:34.08,Grandville,https://www.athletic.net/athlete/15898097/cross-country,15898097.jpg
221.,11,Lucas Kranzusch,https://www.athletic.net/athlete/21185691/cross-country,18:35.66,Grandville,https://www.athletic.net/athlete/21185691/cross-country,21185691.jpg
222.,12,Maceo Colon,https://www.athletic.net/athlete/19847427/cross-country,18:35.95,Temperance Bedford,https://www.athletic.net/athlete/19847427/cross-country,19847427.jpg
223.,11,Jack Paulsen,https://www.athletic.net/athlete/21185697/cross-country,18:37.49,Grandville,https://www.athletic.net/athlete/21185697/cross-country,21185697.jpg
224.,11,Anthony Czarnecki,https://www.athletic.net/athlete/21221699/cross-country,18:38.40,Utica,https://www.athletic.net/athlete/21221699/cross-country,21221699.jpg
225.,9,Samuel Gembis,https://www.athletic.net/athlete/19051085/cross-country,18:39.03,Royal Oak,https://www.athletic.net/athlete/19051085/cross-country,19051085.jpg
226.,12,Kaleb Dekoeyer,https://www.athletic.net/athlete/14023075/cross-country,18:42.21,Temperance Bedford,https://www.athletic.net/athlete/14023075/cross-country,14023075.jpg
227.,11,Nolan Brescol,https://www.athletic.net/athlete/15739515/cross-country,18:43.66,Temperance Bedford,https://www.athletic.net/athlete/15739515/cross-country,15739515.jpg
228.,9,Grayson Diadiun,https://www.athletic.net/athlete/23094697/cross-country,18:44.21,Howell,https://www.athletic.net/athlete/23094697/cross-country,23094697.jpg
229.,10,Boston Conn,https://www.athletic.net/athlete/21372259/cross-country,18:45.67,Howell,https://www.athletic.net/athlete/21372259/cross-country,21372259.jpg
230.,10,Maddi Duke,https://www.athletic.net/athlete/17324655/cross-country,18:47.98,Temperance Bedford,https://www.athletic.net/athlete/17324655/cross-country,17324655.jpg
231.,10,Keagan Wright,https://www.athletic.net/athlete/17456113/cross-country,18:53.43,Howell,https://www.athletic.net/athlete/17456113/cross-country,17456113.jpg
232.,12,Trevor Mulheisen,https://www.athletic.net/athlete/18793565/cross-country,18:53.67,Royal Oak,https://www.athletic.net/athlete/18793565/cross-country,18793565.jpg
233.,12,Nick Goettlicher,https://www.athletic.net/athlete/20141115/cross-country,18:55.31,South Lyon East,https://www.athletic.net/athlete/20141115/cross-country,20141115.jpg
234.,11,Seamus Murphy,https://www.athletic.net/athlete/15694997/cross-country,18:56.58,Romeo,https://www.athletic.net/athlete/15694997/cross-country,15694997.jpg
235.,12,Finn Wilson,https://www.athletic.net/athlete/18856341/cross-country,18:57.87,Ann Arbor Pioneer,https://www.athletic.net/athlete/18856341/cross-country,18856341.jpg
236.,11,Sam Nielsen,https://www.athletic.net/athlete/20922824/cross-country,18:59.44,Fraser,https://www.athletic.net/athlete/20922824/cross-country,20922824.jpg
237.,9,Asa Konwinski,https://www.athletic.net/athlete/26407449/cross-country,19:01.97,Troy,https://www.athletic.net/athlete/26407449/cross-country,26407449.jpg
238.,12,John Hawver,https://www.athletic.net/athlete/18782122/cross-country,19:02.02,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/18782122/cross-country,18782122.jpg
239.,11,Myles Guttovz,https://www.athletic.net/athlete/16051230/cross-country,19:07.77,Farmington,https://www.athletic.net/athlete/16051230/cross-country,16051230.jpg
240.,10,Aidan Wilson,https://www.athletic.net/athlete/22887424/cross-country,19:09.48,Royal Oak,https://www.athletic.net/athlete/22887424/cross-country,22887424.jpg
241.,12,Jack Koivu,https://www.athletic.net/athlete/15853305/cross-country,19:10.94,Hartland,https://www.athletic.net/athlete/15853305/cross-country,15853305.jpg
242.,9,Easton Mascaro,https://www.athletic.net/athlete/26257906/cross-country,19:12.78,South Lyon East,https://www.athletic.net/athlete/26257906/cross-country,26257906.jpg
243.,9,Connor Hui,https://www.athletic.net/athlete/12450853/cross-country,19:18.05,Hartland,https://www.athletic.net/athlete/12450853/cross-country,12450853.jpg
244.,11,Benjamin Ruprecht,https://www.athletic.net/athlete/21233585/cross-country,19:18.06,Rochester,https://www.athletic.net/athlete/21233585/cross-country,21233585.jpg
245.,12,Henry Francis,https://www.athletic.net/athlete/18875647/cross-country,19:22.43,Farmington,https://www.athletic.net/athlete/18875647/cross-country,18875647.jpg
246.,10,Hayden Brown,https://www.athletic.net/athlete/23574458/cross-country,19:25.89,South Lyon East,https://www.athletic.net/athlete/23574458/cross-country,23574458.jpg
247.,10,Skyeler Horne,https://www.athletic.net/athlete/23532260/cross-country,19:27.30,South Lyon East,https://www.athletic.net/athlete/23532260/cross-country,23532260.jpg
248.,10,Patrick Steele,https://www.athletic.net/athlete/19122980/cross-country,19:27.79,Farmington,https://www.athletic.net/athlete/19122980/cross-country,19122980.jpg
249.,10,Isaac Kim,https://www.athletic.net/athlete/23532017/cross-country,19:30.60,South Lyon East,https://www.athletic.net/athlete/23532017/cross-country,23532017.jpg
250.,9,Brody Peura,https://www.athletic.net/athlete/23353695/cross-country,19:32.46,Farmington,https://www.athletic.net/athlete/23353695/cross-country,23353695.jpg
251.,12,Drew Morey,https://www.athletic.net/athlete/23574944/cross-country,19:33.35,BC Lakeview,https://www.athletic.net/athlete/23574944/cross-country,23574944.jpg
252.,11,Mason Becker,https://www.athletic.net/athlete/17392863/cross-country,19:36.52,Jackson,https://www.athletic.net/athlete/17392863/cross-country,17392863.jpg
253.,9,Hunter Orshall,https://www.athletic.net/athlete/26313761/cross-country,19:50.23,Utica,https://www.athletic.net/athlete/26313761/cross-country,26313761.jpg
254.,9,Lucas Dunham,https://www.athletic.net/athlete/19183893/cross-country,19:50.33,Farmington,https://www.athletic.net/athlete/19183893/cross-country,19183893.jpg
255.,12,Luke Goodman,https://www.athletic.net/athlete/12284210/cross-country,19:54.71,Hartland,https://www.athletic.net/athlete/12284210/cross-country,12284210.jpg
256.,11,Henry Greene,https://www.athletic.net/athlete/15865345/cross-country,19:55.85,BC Lakeview,https://www.athletic.net/athlete/15865345/cross-country,15865345.jpg
257.,9,Gavin White,https://www.athletic.net/athlete/19049958/cross-country,19:58.48,Jackson,https://www.athletic.net/athlete/19049958/cross-country,19049958.jpg
258.,11,Timothy Aung Soe,https://www.athletic.net/athlete/21141952/cross-country,20:00.29,BC Lakeview,https://www.athletic.net/athlete/21141952/cross-country,21141952.jpg
259.,11,Landon Johns,https://www.athletic.net/athlete/22601544/cross-country,20:02.40,White Lake Lakeland,https://www.athletic.net/athlete/22601544/cross-country,22601544.jpg
260.,11,Matt Moilanen,https://www.athletic.net/athlete/24849426/cross-country,20:12.69,Jackson,https://www.athletic.net/athlete/24849426/cross-country,24849426.jpg
261.,10,Ameer Hider,https://www.athletic.net/athlete/23638501/cross-country,20:17.39,Dearborn,https://www.athletic.net/athlete/23638501/cross-country,23638501.jpg
262.,12,John Roraff,https://www.athletic.net/athlete/14155058/cross-country,20:18.13,Rochester,https://www.athletic.net/athlete/14155058/cross-country,14155058.jpg
263.,9,Kyle Laginess,https://www.athletic.net/athlete/26285090/cross-country,20:42.62,Fraser,https://www.athletic.net/athlete/26285090/cross-country,26285090.jpg
264.,11,Travis Sam,https://www.athletic.net/athlete/21233580/cross-country,20:55.51,Rochester,https://www.athletic.net/athlete/21233580/cross-country,21233580.jpg
265.,11,Ahmad Zawahreh,https://www.athletic.net/athlete/26391979/cross-country,21:50.41,Dearborn,https://www.athletic.net/athlete/26391979/cross-country,26391979.jpg
266.,11,Dawson Dixon,https://www.athletic.net/athlete/15852414/cross-country,22:20.22,Jackson,https://www.athletic.net/athlete/15852414/cross-country,15852414.jpg
267.,10,Abdullah Saleh,https://www.athletic.net/athlete/26391977/cross-country,23:55.56,Dearborn,https://www.athletic.net/athlete/26391977/cross-country,26391977.jpg
268.,12,Mohammed Alawan,https://www.athletic.net/athlete/19086966/cross-country,24:24.26,Dearborn,https://www.athletic.net/athlete/19086966/cross-country,19086966.jpg
